Authors,Title,Year,DOI,Link,Author Keywords
"Schuerman W.L., Nagarajan S., McQueen J.M., Houde J.","Sensorimotor adaptation affects perceptual compensation for coarticulation",2017,"10.1121/1.4979791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017594433&doi=10.1121%2f1.4979791&partnerID=40&md5=2f02c869c0282ff0b553689071512a36",
"Oswald K., Campbell R., Wright M.","Motor outcomes of feedback delays and implicit/explicit strategy use: Experimental considerations and clinical implications",2017,"10.1152/jn.00274.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017019849&doi=10.1152%2fjn.00274.2016&partnerID=40&md5=0791112548e4ff8ae0006b1ccf413fee","Clinical applications; Implicit/explicit learning; Motor learning; Sensorimotor adaptation"
"Lencer R., Meermeier A., Silling K., Gremmler S., Lappe M.","Instability of visual error processing for sensorimotor adaptation in schizophrenia",2017,"10.1007/s00406-016-0716-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979204275&doi=10.1007%2fs00406-016-0716-3&partnerID=40&md5=37b15c7c6cb1beb329969eccf64eaaa3","Amplitude variability; Efference copy; Prediction error; Saccades; Visual space perception; Visuo-manual transfer"
"Della-Maggiore V., Villalta J.I., Kovacevic N., McIntosh A.R.","Functional evidence for memory stabilization in sensorimotor adaptation: A 24-h resting-state fmri study",2017,"10.1093/cercor/bhv289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021858431&doi=10.1093%2fcercor%2fbhv289&partnerID=40&md5=9ee90ab785e3725de8385dccfdf77ba1","Consolidation; Functional connectivity; Motor learning; Resting-state fMRI; Sensorimotor adaptation"
"Schaffert J., Lee C.-M., Neill R., Bo J.","Visuomotor adaptability in older adults with mild cognitive decline",2017,"10.1016/j.actpsy.2016.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007140154&doi=10.1016%2fj.actpsy.2016.12.009&partnerID=40&md5=fded3dbf916803339bfbfc12373787ca","Mild cognitive impairment (MCI); MoCA; Motor learning; Visuomotor adaptation"
"Limanowski J., Kirilina E., Blankenburg F.","Neuronal correlates of continuous manual tracking under varying visual movement feedback in a virtual reality environment",2017,"10.1016/j.neuroimage.2016.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999036858&doi=10.1016%2fj.neuroimage.2016.11.009&partnerID=40&md5=e1445bc238d8897abba594c92019c787",
"Stark-Inbar A., Raza M., Taylor J.A., Ivry R.B.","Individual differences in implicit motor learning: Task specificity in sensorimotor adaptation and sequence learning",2017,"10.1152/jn.01141.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010430230&doi=10.1152%2fjn.01141.2015&partnerID=40&md5=b25fcb13767e35ce223037bc640ae902","Adaptation; Implicit learning; Individual differences; Reliability; Sequence learning"
"Seidler R.D., Gluskin B.S., Greeley B.","Right prefrontal cortex transcranial direct current stimulation enhances multi-day savings in sensorimotor adaptation",2017,"10.1152/jn.00563.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010408646&doi=10.1152%2fjn.00563.2016&partnerID=40&md5=949c0fa09da1d062c82e958218c5b517","Adaptation; Dorsolateral prefrontal cortex; Relearning; Retention; Savings"
"Koppelmans V., Bloomberg J.J., Mulavara A.P., Seidler R.D.","Brain structural plasticity with spaceflight",2016,"10.1038/s41526-016-0001-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023200417&doi=10.1038%2fs41526-016-0001-9&partnerID=40&md5=359a42356e79eaf9f55ef19c427e5410",
"Lee B.-C., Thrasher T.A., Layne C.S., Martin B.J.","Vibrotactile cuing revisited to reveal a possible challenge to sensorimotor adaptation",2016,"10.1007/s00221-016-4750-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981229172&doi=10.1007%2fs00221-016-4750-1&partnerID=40&md5=f10b86d522467ec49346750a5b4eccb4","Fall recovery; Induced trip; Rehabilitation; Timing uncertainty; Vibrotactile cuing"
"van der Kooij K., Overvliet K.E., Smeets J.B.J.","Temporally stable adaptation is robust, incomplete and specific",2016,"10.1111/ejn.13355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982231191&doi=10.1111%2fejn.13355&partnerID=40&md5=23209fa806d62e191db94a82e4ba95e1","retention; sensory realignment; training; visuomotor adaptation"
"Lei Y., Bao S., Wang J.","The combined effects of action observation and passive proprioceptive training on adaptive motor learning",2016,"10.1016/j.neuroscience.2016.06.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976483519&doi=10.1016%2fj.neuroscience.2016.06.011&partnerID=40&md5=548b0a263209d5bbef51f5e1f3a9531c","observational learning; passive training; use dependency; visuomotor adaptation"
"Reichenthal M., Avraham G., Karniel A., Shmuelof L.","Target size matters: Target errors contribute to the generalization of implicit visuomotor learning",2016,"10.1152/jn.00830.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984604654&doi=10.1152%2fjn.00830.2015&partnerID=40&md5=b4c2672cfa70eba12152fa304145e108","Generalization; Motor adaptation; Pong; Reaching"
"Guediche S., Fiez J.A., Holt L.L.","Adaptive plasticity in speech perception: Effects of external information and internal predictions",2016,"10.1037/xhp0000196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957682161&doi=10.1037%2fxhp0000196&partnerID=40&md5=894c8092438e43e3f1135f01f9acb850","Lexical adaptation; Perceptual learning; Perceptual recalibration; Sensorimotor adaptation; Speech adaptation"
"Schmitz G.","Interference between adaptation to double steps and adaptation to rotated feedback in spite of differences in directional selectivity",2016,"10.1007/s00221-016-4559-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955578732&doi=10.1007%2fs00221-016-4559-y&partnerID=40&md5=f7a17299f6105098258e7968042947ac","Directional selectivity; Executive functions; Interference; Visuomotor adaptation"
"Festini S.B., Preston S.D., Reuter-Lorenz P.A., Seidler R.D.","Emotion and reward are dissociable from error during motor learning",2016,"10.1007/s00221-015-4542-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953407807&doi=10.1007%2fs00221-015-4542-z&partnerID=40&md5=c045cfc7c28d990109ef81450858039f","Emotion; Error-based learning; Motor learning; Reward-based learning; Sensorimotor adaptation"
"Souto D., Gegenfurtner K.R., Schütz A.C.","Saccade adaptation and visual uncertainty",2016,"10.3389/fnhum.2016.00227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973345206&doi=10.3389%2ffnhum.2016.00227&partnerID=40&md5=3661d94a305226cfbbdbbfeb32b19747","Eye movements; Saccade adaptation; Saccadic suppression of displacement; Sensorimotor adaptation; Visual perception"
"Mawase F., Bar-Haim S., Joubran K., Rubin L., Karniel A., Shmuelof L.","Increased adaptation rates and reduction in trial-by-trial variability in subjects with cerebral palsy following a multi-session locomotor adaptation training",2016,"10.3389/fnhum.2016.00203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967313781&doi=10.3389%2ffnhum.2016.00203&partnerID=40&md5=ef587509c8a4227a2a5aec8e4c3383a0","Adaptation; Asymptotic performance; Execution variability; Gait; Rehabilitation"
"Dimitriou M.","Enhanced Muscle Afferent Signals during Motor Learning in Humans",2016,"10.1016/j.cub.2016.02.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962052997&doi=10.1016%2fj.cub.2016.02.030&partnerID=40&md5=4807b273fe9c11f3db8f38af9463d7c1",
"Noohi F., Boyden N.B., Kwak Y., Humfleet J., Müller M.L.T.M., Bohnen N.I., Seidler R.D.","Interactive effects of age and multi-gene profile on motor learning and sensorimotor adaptation",2016,"10.1016/j.neuropsychologia.2016.02.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960859821&doi=10.1016%2fj.neuropsychologia.2016.02.021&partnerID=40&md5=8de952a7d705fb46424bd9d128a1c75d","Aging; BDNF; COMT; DRD2; Sequence learning; Visuomotor adaptation"
"Gómez-Moya R., Díaz R., Fernandez-Ruiz J.","Different visuomotor processes maturation rates in children support dual visuomotor learning systems",2016,"10.1016/j.humov.2016.01.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955602846&doi=10.1016%2fj.humov.2016.01.011&partnerID=40&md5=5b53f2274b36264dded796d9d44d623b","Motor development; Prism adaptation; Procedural learning; Sensorimotor adaptation; Sensorimotor learning; Strategic-based learning"
"Simon A., Bock O.","Influence of divergent and convergent thinking on visuomotor adaptation in young and older adults",2016,"10.1016/j.humov.2015.11.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949844609&doi=10.1016%2fj.humov.2015.11.020&partnerID=40&md5=21cb2b7ce2c489db2f8dbf39696dade9","Age-dependence; Convergent thinking; Divergent thinking; Motor learning"
"Bilaloglu S., Lu Y., Geller D., Rizzo J.R., Aluru V., Gardner E.P., Raghavan P.","Effect of blocking tactile information from the fingertips on adaptation and execution of grip forces to friction at the grasping surface",2016,"10.1152/jn.00639.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984846309&doi=10.1152%2fjn.00639.2015&partnerID=40&md5=c66db1e9c7b87bee4d09a0fdbf53a56f","Electromyography; Feedforward and feedback control; Precision grasp; Sensorimotor adaptation; Tactile perception"
"Brudner S.N., Kethidi N., Graeupner D., Ivry R.B., Taylor J.A.","Delayed feedback during sensorimotor learning selectively disrupts adaptation but not strategy use",2016,"10.1152/jn.00066.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984813329&doi=10.1152%2fjn.00066.2015&partnerID=40&md5=a82ebba570a0774e392a54f4c0c98f9d","Forward model; Internal model; Motor adaptation; Motor learning; Reinforcement learning"
"Tan H., Wade C., Brown P.","Post-movement beta activity in sensorimotor cortex indexes confidence in the estimations from internal models",2016,"10.1523/JNEUROSCI.3204-15.2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957812722&doi=10.1523%2fJNEUROSCI.3204-15.2016&partnerID=40&md5=0965bf69962efdef8b8713f6d0388db3","Bayesian integration; Estimation uncertainty; Internal models; Post-movement beta synchronization; Sensorimotor adaptation"
"Hudson T.E., Landy M.S.","Sinusoidal error perturbation reveals multiple coordinate systems for sensorymotor adaptation",2016,"10.1016/j.visres.2015.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961303517&doi=10.1016%2fj.visres.2015.12.005&partnerID=40&md5=1be03b03f560f604e8d682fe8d18a209","Coordinate system; Internal representation; Motor adaptation; Movement code; Movement encoding; Movement error; Plasticity"
"Hayes S.J., Andrew M., Elliott D., Gowen E., Bennett S.J.","Low Fidelity Imitation of Atypical Biological Kinematics in Autism Spectrum Disorders Is Modulated by Self-Generated Selective Attention",2016,"10.1007/s10803-015-2588-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955659796&doi=10.1007%2fs10803-015-2588-1&partnerID=40&md5=3e2bcaa4070ee21ff473e7b3642810ff","Attention; Autism spectrum disorders; Biological motion kinematics; Imitation"
"Eikema D.J.A., Chien J.H., Stergiou N., Myers S.A., Scott-Pandorf M.M., Bloomberg J.J., Mukherjee M.","Optic flow improves adaptability of spatiotemporal characteristics during split-belt locomotor adaptation with tactile stimulation",2016,"10.1007/s00221-015-4484-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955637735&doi=10.1007%2fs00221-015-4484-5&partnerID=40&md5=05bd8f45da28c301c1835cce9efc5d00","Biomechanics; Gait; Motor control; Motor learning; Sensory; Vibration; Virtual reality"
"Macaulay T.R., Macias B.R., Lee S.M.C., Boda W.L., Watenpaugh D.E., Hargens A.R.","Treadmill exercise within lower-body negative pressure attenuates simulated spaceflight-induced reductions of balance abilities in men but not women",2016,"10.1038/npjmgrav.2016.22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048009712&doi=10.1038%2fnpjmgrav.2016.22&partnerID=40&md5=236d922a65517faef4321777996c3782",
"Calzolari E., Gallace A., Moseley G.L., Vallar G.","Effect of prism adaptation on thermoregulatory control in humans",2016,"10.1016/j.bbr.2015.08.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961135771&doi=10.1016%2fj.bbr.2015.08.036&partnerID=40&md5=d2864af32180dc00ea47db9938e3726b","Body representation; Homeostatic control; Prism adaptation; Skin temperature; Thermoregulation"
"Kim S., Ogawa K., Lv J., Schweighofer N., Imamizu H.","Neural Substrates Related to Motor Memory with Multiple Timescales in Sensorimotor Adaptation",2015,"10.1371/journal.pbio.1002312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953282342&doi=10.1371%2fjournal.pbio.1002312&partnerID=40&md5=4e4e929502212bf9fb52549f3b5f8b71",
"Carroll T.J., de Rugy A., Howard I.S., Ingram J.N., Wolpert D.M.","Enhanced crosslimb transfer of force-field learning for dynamics that are identical in extrinsic and joint-based coordinates for both limbs",2015,"10.1152/jn.00485.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955621945&doi=10.1152%2fjn.00485.2015&partnerID=40&md5=a91a8f08c6bcf35995bb9c7a02933cf7","Coordinate frame; Interlimb transfer; Motor learning; Sensorimotor adaptation"
"Lefumat H.Z., Vercher J.-L., Miall R.C., Cole J., Buloup F., Bringoux L., Bourdin C., Sarlegna F.R.","To transfer or not to transfer? Kinematics and laterality quotient predict interlimb transfer of motor learning",2015,"10.1152/jn.00749.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947250382&doi=10.1152%2fjn.00749.2015&partnerID=40&md5=1107a63baf74c317eb5f6b63fec8460c","Cross-limb education; Intermanual transfer; Reaching arm movements; Sensorimotor adaptation"
"Morehead J.R., Qasim S.E., Crossley M.J., Ivry R.","Savings upon re-aiming in visuomotor adaptation",2015,"10.1523/JNEUROSCI.1046-15.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944909817&doi=10.1523%2fJNEUROSCI.1046-15.2015&partnerID=40&md5=0667f8f347395f86b78e31d4684f45b6","Adaptation; Motor learning; Reaching; Visuomotor"
"Maes P.-J., Giacofci M., Leman M.","Auditory and motor contributions to the timing of melodies under cognitive load",2015,"10.1037/xhp0000085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942550785&doi=10.1037%2fxhp0000085&partnerID=40&md5=06794bdc36437a8927a547503ca91517","Associative learning; Internal model; Interval production; Sensorimotor adaptation"
"Yen S.-C., Gutierrez G.M., Wang Y.-C., Murphy P.","Alteration of ankle kinematics and muscle activity during heel contact when walking with external loading",2015,"10.1007/s00421-015-3154-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937967752&doi=10.1007%2fs00421-015-3154-4&partnerID=40&md5=b155d8ab64c49de1e52430cab9bf8b37","Ankle; Error augmentation; Gait; Motor learning; Sensorimotor adaptation"
"Wang J., Lei Y.","Direct-effects and after-effects of visuomotor adaptation with one arm on subsequent performance with the other arm",2015,"10.1152/jn.00298.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937437832&doi=10.1152%2fjn.00298.2015&partnerID=40&md5=6062525fd5a387a2a7dd3231f1287917","Generalization; Instance-reliant learning; Intermanual; Model-based learning; Savings"
"Werner S., Van Aken B.C., Hulst T., Frens M.A., Van Der Geest J.N., Strüder H.K., Donchin O.","Awareness of sensorimotor adaptation to visual rotations of different size",2015,"10.1371/journal.pone.0123321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928726950&doi=10.1371%2fjournal.pone.0123321&partnerID=40&md5=4bbd017cdbaf1d88b1ebf6cd0697f66a",
"Oarriot J., Jamali M., Cullen K.E.","Rapid adaptation of multisensory integration in vestibular pathways",2015,"10.3389/fnsys.2015.00059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928152620&doi=10.3389%2ffnsys.2015.00059&partnerID=40&md5=29e3c9241c227b63a1e95df576fcd893","Adaptation; Astronauts; Internal model; Sensorimotor; Sensory reweighting; Vestibular diseases; Vestibular nuclei; Vestibule"
"Duda K.R., Vasquez R.A., Middleton A.J., Hansberry M.L., Newman D.J., Jacobs S.E., West J.J.","The variable vector countermeasure suit (V2Suit) for space habitation and exploration",2015,"10.3389/fnsys.2015.00055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928106116&doi=10.3389%2ffnsys.2015.00055&partnerID=40&md5=75aaba7e4b10e250c8bb042c9dc3f8ce","Biomechanics; Control moment gyroscope; Countermeasures; Human spaceflight; Wearable electronics"
"Westendorff S., Kuang S., Taghizadeh B., Donchin O., Gail A.","Asymmetric generalization in adaptation to target displacement errors in humans and in a neural network model",2015,"10.1152/jn.00483.2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982685022&doi=10.1152%2fjn.00483.2014&partnerID=40&md5=933c2ac017015406e6b7fcd0cf6bd59b","Asymmetry; Generalization pattern; Neural network model; Reach adaptation; Target jump"
"Toma S., Sciutti A., Papaxanthis C., Pozzo T.","Visuomotor adaptation to a visual rotation is gravity dependent",2015,"10.1152/jn.00369.2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930828375&doi=10.1152%2fjn.00369.2014&partnerID=40&md5=b4664db361d2d97aa778cf2fc25b5353","Internal model of gravity; Motor planning; Sensorimotor adaptation; Visual vertical"
"Max L., Maffett D.G.","Feedback delays eliminate auditory-motor learning in speech production",2015,"10.1016/j.neulet.2015.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922998611&doi=10.1016%2fj.neulet.2015.02.012&partnerID=40&md5=92855eae171df8074ee90b9135274cca","Feedback; Motor control; Motor learning; Sensorimotor adaptation; Speech production"
"Johnson T., Nandakumar N., Kenyon R., Patton J.","Sensory Recalibration from Visually Amplified Rotations While Walking",2015,"10.1615/CritRevBiomedEng.2016016520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038129808&doi=10.1615%2fCritRevBiomedEng.2016016520&partnerID=40&md5=2d49a7f899751a895d7c2c37363ebd4f",
"Torrecillos F., Alayrangues J., Kilavik B.E., Malfait N.","Distinct modulations in sensorimotor postmovement and foreperiod β-band activities related to error salience processing and sensorimotor adaptation",2015,"10.1523/JNEUROSCI.1090-15.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941800432&doi=10.1523%2fJNEUROSCI.1090-15.2015&partnerID=40&md5=6d0a560724d3ca8cc58f5ceb57b04387","Arm movements; EEG; Error processing; Force field; Sensorimotor adaptation; β -band oscillations"
"Sklar J.C., Goltz H.C., Gane L., Wong A.M.F.","Adaptation to laterally displacing prisms in anisometropic amblyopia",2015,"10.1167/iovs.15-16605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939527127&doi=10.1167%2fiovs.15-16605&partnerID=40&md5=a6688f3a5b97b5c946124076cb62bf63","Amblyopia; Anisometropia; Manual pointing; Prism adaptation; Sensorimotor integration"
"Lu Y., Bilaloglu S., Aluru V., Raghavan P.","Quantifying feed forward control: A linear scaling model for fingertip forces and object weight",2015,"10.1152/jn.00065.2015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937419028&doi=10.1152%2fjn.00065.2015&partnerID=40&md5=e5cacb074e4035b584a9e49f847f46f8","Electromyography; Feed forward and feedback control; Motor control and learning; Precision grasp; Sensorimotor adaptation"
"Guediche S., Holt L.L., Laurent P., Lim S.-J., Fiez J.A.","Evidence for Cerebellar Contributions to Adaptive Plasticity in Speech Perception",2015,"10.1093/cercor/bht428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936803331&doi=10.1093%2fcercor%2fbht428&partnerID=40&md5=0b9ade56e501246ecd7bf8a8a8153627","adaptation; cerebellum; fMRI; perceptual learning; supervised learning"
"Corveleyn X., López-Moliner J., Coello Y.","Sensorimotor adaptation modifies action effects on sensory binding",2015,"10.3758/s13414-014-0772-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925510374&doi=10.3758%2fs13414-014-0772-6&partnerID=40&md5=cea3c12f55b6c72e6bb3ea27fb1a5c57","Motor action; Sensorimotor adaptation; Sensory binding; Temporal order judgment; Vision"
"Hoffland B.S., Veugen L.C., Janssen M.M.H.P., Pasman J.W., Weerdesteyn V., van de Warrenburg B.P.","A Gait Paradigm Reveals Different Patterns of Abnormal Cerebellar Motor Learning in Primary Focal Dystonias",2014,"10.1007/s12311-014-0594-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911396856&doi=10.1007%2fs12311-014-0594-z&partnerID=40&md5=3edd566b3d3dedbd1bfa575c17ce198b","Cerebellum; Dystonia; Sensorimotor adaptation"
"Schmitz G., Bock O.","A comparison of sensorimotor adaptation in the visual and in the auditory modality",2014,"10.1371/journal.pone.0107834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907588605&doi=10.1371%2fjournal.pone.0107834&partnerID=40&md5=4dd5c50602d0f8014a7bb30843f1b709",
"Carroll T.J., Poh E., De Rugy A.","New visuomotor maps are immediately available to the opposite limb",2014,"10.1152/jn.00042.2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901701688&doi=10.1152%2fjn.00042.2014&partnerID=40&md5=bd9584daa19884757ae0a69474b74377","Coordinate frame; Interlimb transfer; Sensorimotor adaptation; Visuomotor rotation"
"Bourguignon N.J., Baum S.R., Shiller D.M.","Lexical-perceptual integration influences sensorimotor adaptation in speech",2014,"10.3389/fnhum.2014.00208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898848755&doi=10.3389%2ffnhum.2014.00208&partnerID=40&md5=85b9a3f6b4df0aa7300100d6d06011da","Altered auditory feedback; Language processing; Lexical effect; Sensorimotor integration; Speech production"
"Taylor J.A., Krakauer J.W., Ivry R.B.","Explicit and implicit contributions to learning in a sensorimotor adaptation task",2014,"10.1523/JNEUROSCI.3619-13.2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894082417&doi=10.1523%2fJNEUROSCI.3619-13.2014&partnerID=40&md5=99f7fa58bbf2c34ee5885f10e34571f6","Cerebellum; Explicit; Implicit; Motor adaptation; Motor learning; Strategy"
"Noohi F., Boyden N.B., Kwak Y., Humfleet J., Burke D.T., Müller M.L.T.M., Bohnen N.I., Seidler R.D.","Association of COMT val158met and DRD2 G>T genetic polymorphisms with individual differences in motor learning and performance in female young adults",2014,"10.1152/jn.00457.2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893422762&doi=10.1152%2fjn.00457.2013&partnerID=40&md5=4e888d552732d7aecde994ccb8f571ef","COMT; DRD2; Individual differences; Sequence learning; Visuomotor adaptation"
"Telgen S., Parvin D., Diedrichsen J.","Mirror reversal and visual rotation are learned and consolidated via separate mechanisms: Recalibrating or learning de novo?",2014,"10.1523/JNEUROSCI.5306-13.2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923480761&doi=10.1523%2fJNEUROSCI.5306-13.2014&partnerID=40&md5=efadb208011ed98b1375e8ddea217f82","Consolidation; Mirror reversal; Reaching movements; Sensorimotor adaptation; Skill learning; Visual rotation"
"Lex H., Weigelt M., Knoblauch A., Schack T.","The functional role of cognitive frameworks on visuomotor adaptation performance",2014,"10.1080/00222895.2014.920290","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919828566&doi=10.1080%2f00222895.2014.920290&partnerID=40&md5=5aaeca53c754660d47112e16f7ead587","Cognitive representation; Motor learning; Movement direction; Sensorimotor adaptation"
"Lametti D.R., Rochet-Capellan A., Neufeld E., Shiller D.M., Ostry D.J.","Plasticity in the human speech motor system drives changes in speech perception",2014,"10.1523/JNEUROSCI.0108-14.2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905053906&doi=10.1523%2fJNEUROSCI.0108-14.2014&partnerID=40&md5=47e331a822cf7ddadb2ec675d8c9c753","Action; Motor learning; Perception; Plasticity; Speech"
"Lemieux L.G., Simoneau M., Tessier J.-F., Billot M., Blouin J., Teasdale N.","Balance control interferes with the tracing performance of a pattern with mirror-reversed vision in older persons",2014,"10.1007/s11357-013-9601-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898912018&doi=10.1007%2fs11357-013-9601-4&partnerID=40&md5=8fd2616d13c287596dabd98f1af6fe22","Ageing; Balance control; Mirror tracing; Sensory gating; Visuomotor conflict"
"Werner S., Schorn C.F., Bock O., Theysohn N., Timmann D.","Neural correlates of adaptation to gradual and to sudden visuomotor distortions in humans",2014,"10.1007/s00221-014-3824-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897021017&doi=10.1007%2fs00221-014-3824-1&partnerID=40&md5=134a9fc0df0e0de03e2ebf9a6b7bd2bd","Motor learning; Neuroimaging; Pointing; Sensorimotor adaptation"
"Darshan R., Leblois A., Hansel D.","Interference and Shaping in Sensorimotor Adaptations with Rewards",2014,"10.1371/journal.pcbi.1003377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896729034&doi=10.1371%2fjournal.pcbi.1003377&partnerID=40&md5=708cc0183b7f318f1ae1d74238a768c3",
"Panouillères M., Habchi O., Gerardin P., Salemme R., Urquizar C., Farne A., Pélisson D.","A role for the parietal cortex in sensorimotor adaptation of saccades",2014,"10.1093/cercor/bhs312","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896362956&doi=10.1093%2fcercor%2fbhs312&partnerID=40&md5=d1f7b3d23c69564edfd8984b4a5b1fd2","Adaptation; Posterior intraparietal sulcus; Reactive saccades; Transcranial magnetic stimulation; Voluntary saccades"
"Koppelmans V., Erdeniz B., De Dios Y.E., Wood S.J., Reuter-Lorenz P.A., Kofman I., Bloomberg J.J., Mulavara A.P., Seidler R.D.","Study protocol to examine the effects of spaceflight and a spaceflight analog on neurocognitive performance: Extent, longevity, and neural bases",2013,"10.1186/1471-2377-13-205","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890344700&doi=10.1186%2f1471-2377-13-205&partnerID=40&md5=905965a423cd6d4fbb9f3e815ab71336","Astronauts; Bed rest; Cognition; Longitudinal studies; Microgravity; MRI; Neuroimaging; Sensorimotor feedback; Space flight"
"Bingham G.P., Mon-Williams M.A.","The dynamics of sensorimotor calibration in reaching-to-grasp movements",2013,"10.1152/jn.00112.2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890324131&doi=10.1152%2fjn.00112.2013&partnerID=40&md5=5afc61eac6e1106bf39b0701cbd6f405","Calibration; Cue combination; Dynamics; Feedback control; Sensorimotor adaptation"
"Wang L., Rand M.K., Müsseler J.","Spatial realignment in sensorimotor adaptation: Taking the efficiency into account",2013,"10.1037/a0032123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890055007&doi=10.1037%2fa0032123&partnerID=40&md5=9fdf6a1b32ca11643a58c438caaa907f","Adaptive action control; Modularity; Spatial realignment; Visuomotor adaptation; Visuomotor generalization"
"Darainy M., Vahdat S., Ostry D.J.","Perceptual learning in sensorimotor adaptation",2013,"10.1152/jn.00439.2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887003661&doi=10.1152%2fjn.00439.2013&partnerID=40&md5=219dcef27f236993b2d258fb881ee935","Motor learning; Perceptual learning; Reaching movement; Sensorimo-tor adaptation"
"Panouillères M., Alahyane N., Urquizar C., Salemme R., Nighoghossian N., Gaymard B., Tilikete C., Pélisson D.","Effects of structural and functional cerebellar lesions on sensorimotor adaptation of saccades",2013,"10.1007/s00221-013-3662-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881489694&doi=10.1007%2fs00221-013-3662-6&partnerID=40&md5=20707745b83e18214e9d62b1e48dca0d","Adaptation; Cerebellum; Saccades; Wallenberg"
"Bultitude J.H., Downing P.E., Rafal R.D.","Prism adaptation does not alter configural processing of faces",2013,"10.12688/f1000research.2-215.v1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84914819963&doi=10.12688%2ff1000research.2-215.v1&partnerID=40&md5=830a82621394e1889c59f89e6ea86b0a",
